Image,Party Affiliation,Candidate Name,Office
D,Democrat,Carolyn B. Jackson ,District 1
D,Democrat,Earl Harris Jr.,District 2
R,Republican,Ben Ruiz ,District 2
D,Democrat,Ragen Hatcher ,District 3
R,Republican,Leslie A. Dallner ,District 3
D,Democrat,Erika Robinson-Watkins,District 4
R,Republican,Edmond Soliday ,District 4
D,Democrat,Patricia Boy ,District 9
R,Republican,Joel Florek ,District 9
D,Democrat,Charles Moseley ,District 10
R,Republican,Jeff Larson ,District 10
R,Republican,Michael J. Aylesworth,District 11
D,Democrat,Mike Andrade ,District 12
R,Republican,Jim Lietz ,District 12
D,Democrat,Vernon G. Smith ,District 14
R,Republican,Ivan Ursery II ,District 14
D,Democrat,John (Jack) Walter,District 15
R,Republican,Hal Slager ,District 15
R,Republican,Julie Olthoff ,District 19
R,Republican,Jim Pressel,District 20
